2021-05-17 02:14:10,778: 	 --> [DEBUG] 	 databases to read: ['Agricultural']
2021-05-17 02:14:11,287: 	 --> [DEBUG] 	 Read_init_sql: append Agricultural df to dfs
2021-05-17 02:14:11,332: 	 --> [DEBUG] 	 databases to read: ['GBARD']
2021-05-17 02:14:11,358: 	 --> [DEBUG] 	 Read_init_sql: append GBARD df to dfs
2021-05-17 02:14:11,359: 	 --> [DEBUG] 	 databases to read: ['Agri_country', 'commodity', 'Agri_variable', 'GBARD_country', 'seo']
2021-05-17 02:14:11,366: 	 --> [DEBUG] 	 Read_init_sql: append Agri_country df to dfs
2021-05-17 02:14:11,369: 	 --> [DEBUG] 	 Read_init_sql: append commodity df to dfs
2021-05-17 02:14:11,373: 	 --> [DEBUG] 	 Read_init_sql: append Agri_variable df to dfs
2021-05-17 02:14:11,377: 	 --> [DEBUG] 	 Read_init_sql: append GBARD_country df to dfs
2021-05-17 02:14:11,381: 	 --> [DEBUG] 	 Read_init_sql: append seo df to dfs
2021-05-17 02:14:11,381: 	 --> [DEBUG] 	 databases to read: ['continents', 'continents_1990', 'continents_2020']
2021-05-17 02:14:11,399: 	 --> [DEBUG] 	 Read_init_sql: append continents df to dfs
2021-05-17 02:14:11,415: 	 --> [DEBUG] 	 Read_init_sql: append continents_1990 df to dfs
2021-05-17 02:14:11,432: 	 --> [DEBUG] 	 Read_init_sql: append continents_2020 df to dfs
2021-05-17 19:20:52,907: 	 --> [DEBUG] 	 databases to read: ['Agricultural']
2021-05-17 19:20:53,323: 	 --> [DEBUG] 	 Read_init_sql: append Agricultural df to dfs
2021-05-17 19:20:53,350: 	 --> [DEBUG] 	 databases to read: ['GBARD']
2021-05-17 19:20:53,360: 	 --> [DEBUG] 	 Read_init_sql: append GBARD df to dfs
2021-05-17 19:20:53,361: 	 --> [DEBUG] 	 databases to read: ['Agri_country', 'commodity', 'Agri_variable', 'GBARD_country', 'seo']
2021-05-17 19:20:53,363: 	 --> [DEBUG] 	 Read_init_sql: append Agri_country df to dfs
2021-05-17 19:20:53,366: 	 --> [DEBUG] 	 Read_init_sql: append commodity df to dfs
2021-05-17 19:20:53,368: 	 --> [DEBUG] 	 Read_init_sql: append Agri_variable df to dfs
2021-05-17 19:20:53,371: 	 --> [DEBUG] 	 Read_init_sql: append GBARD_country df to dfs
2021-05-17 19:20:53,373: 	 --> [DEBUG] 	 Read_init_sql: append seo df to dfs
2021-05-17 19:20:53,373: 	 --> [DEBUG] 	 databases to read: ['continents', 'continents_1990', 'continents_2020']
2021-05-17 19:20:53,382: 	 --> [DEBUG] 	 Read_init_sql: append continents df to dfs
2021-05-17 19:20:53,391: 	 --> [DEBUG] 	 Read_init_sql: append continents_1990 df to dfs
2021-05-17 19:20:53,400: 	 --> [DEBUG] 	 Read_init_sql: append continents_2020 df to dfs
