2021-05-03 03:07:51,180: 	 --> [INFO] 	 Chosen country: ITA
2021-05-03 03:07:51,181: 	 --> [INFO] 	 Chosen country years limits: 1990 - 2019
2021-05-03 03:07:51,197: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:51,199: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:51,200: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:51,222: 	 --> [DEBUG] 	 In 2020 there's an empty value for ITA
2021-05-03 03:07:51,223: 	 --> [INFO] 	 Chosen country: JPN
2021-05-03 03:07:51,224: 	 --> [INFO] 	 Chosen country years limits: 1990 - 2020
2021-05-03 03:07:51,264: 	 --> [INFO] 	 Chosen country: MEX
2021-05-03 03:07:51,266: 	 --> [INFO] 	 Chosen country years limits: 1990 - 2019
2021-05-03 03:07:51,305: 	 --> [DEBUG] 	 In 2020 there's an empty value for MEX
2021-05-03 03:07:51,306: 	 --> [INFO] 	 Chosen country: NLD
2021-05-03 03:07:51,307: 	 --> [INFO] 	 Chosen country years limits: 1990 - 2020
2021-05-03 03:07:51,351: 	 --> [INFO] 	 Chosen country: NOR
2021-05-03 03:07:51,352: 	 --> [INFO] 	 Chosen country years limits: 1990 - 2020
2021-05-03 03:07:51,394: 	 --> [INFO] 	 Chosen country: NZL
2021-05-03 03:07:51,397: 	 --> [INFO] 	 Chosen country years limits: 1990 - 2017
2021-05-03 03:07:51,403: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:51,407: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:51,410: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:51,413: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:51,415: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:51,417: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:51,419: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:51,420: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:51,422: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:51,439: 	 --> [DEBUG] 	 In 2018 there's an empty value for NZL
2021-05-03 03:07:51,440: 	 --> [DEBUG] 	 In 2019 there's an empty value for NZL
2021-05-03 03:07:51,440: 	 --> [DEBUG] 	 In 2020 there's an empty value for NZL
2021-05-03 03:07:51,440: 	 --> [INFO] 	 Chosen country: PRT
2021-05-03 03:07:51,442: 	 --> [INFO] 	 Chosen country years limits: 1990 - 2019
2021-05-03 03:07:51,481: 	 --> [DEBUG] 	 In 2020 there's an empty value for PRT
2021-05-03 03:07:51,482: 	 --> [INFO] 	 Chosen country: SWE
2021-05-03 03:07:51,483: 	 --> [INFO] 	 Chosen country years limits: 1990 - 2019
2021-05-03 03:07:51,496: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:51,528: 	 --> [DEBUG] 	 In 2020 there's an empty value for SWE
2021-05-03 03:07:51,529: 	 --> [INFO] 	 Chosen country: USA
2021-05-03 03:07:51,530: 	 --> [INFO] 	 Chosen country years limits: 1990 - 2019
2021-05-03 03:07:51,569: 	 --> [DEBUG] 	 In 2020 there's an empty value for USA
2021-05-03 03:07:51,570: 	 --> [INFO] 	 Chosen country: ISL
2021-05-03 03:07:51,572: 	 --> [INFO] 	 Chosen country years limits: 1991 - 2017
2021-05-03 03:07:51,572: 	 --> [DEBUG] 	 In 1990 there's an empty value for ISL
2021-05-03 03:07:51,610: 	 --> [DEBUG] 	 In 2018 there's an empty value for ISL
2021-05-03 03:07:51,610: 	 --> [DEBUG] 	 In 2019 there's an empty value for ISL
2021-05-03 03:07:51,611: 	 --> [DEBUG] 	 In 2020 there's an empty value for ISL
2021-05-03 03:07:51,611: 	 --> [INFO] 	 Chosen country: ISR
2021-05-03 03:07:51,613: 	 --> [INFO] 	 Chosen country years limits: 1993 - 2018
2021-05-03 03:07:51,613: 	 --> [DEBUG] 	 In 1990 there's an empty value for ISR
2021-05-03 03:07:51,613: 	 --> [DEBUG] 	 In 1991 there's an empty value for ISR
2021-05-03 03:07:51,614: 	 --> [DEBUG] 	 In 1992 there's an empty value for ISR
2021-05-03 03:07:51,652: 	 --> [DEBUG] 	 In 2019 there's an empty value for ISR
2021-05-03 03:07:51,652: 	 --> [DEBUG] 	 In 2020 there's an empty value for ISR
2021-05-03 03:07:51,652: 	 --> [INFO] 	 Chosen country: ROU
2021-05-03 03:07:51,654: 	 --> [INFO] 	 Chosen country years limits: 1993 - 2019
2021-05-03 03:07:51,655: 	 --> [DEBUG] 	 In 1990 there's an empty value for ROU
2021-05-03 03:07:51,655: 	 --> [DEBUG] 	 In 1991 there's an empty value for ROU
2021-05-03 03:07:51,656: 	 --> [DEBUG] 	 In 1992 there's an empty value for ROU
2021-05-03 03:07:51,692: 	 --> [DEBUG] 	 In 2020 there's an empty value for ROU
2021-05-03 03:07:51,692: 	 --> [INFO] 	 Chosen country: SVK
2021-05-03 03:07:51,694: 	 --> [INFO] 	 Chosen country years limits: 1993 - 2019
2021-05-03 03:07:51,694: 	 --> [DEBUG] 	 In 1990 there's an empty value for SVK
2021-05-03 03:07:51,695: 	 --> [DEBUG] 	 In 1991 there's an empty value for SVK
2021-05-03 03:07:51,695: 	 --> [DEBUG] 	 In 1992 there's an empty value for SVK
2021-05-03 03:07:51,729: 	 --> [DEBUG] 	 In 2020 there's an empty value for SVK
2021-05-03 03:07:51,730: 	 --> [INFO] 	 Chosen country: RUS
2021-05-03 03:07:51,732: 	 --> [INFO] 	 Chosen country years limits: 1994 - 2009
2021-05-03 03:07:51,732: 	 --> [DEBUG] 	 In 1990 there's an empty value for RUS
2021-05-03 03:07:51,732: 	 --> [DEBUG] 	 In 1991 there's an empty value for RUS
2021-05-03 03:07:51,732: 	 --> [DEBUG] 	 In 1992 there's an empty value for RUS
2021-05-03 03:07:51,733: 	 --> [DEBUG] 	 In 1993 there's an empty value for RUS
2021-05-03 03:07:51,747: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:51,748: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:51,750: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:51,751: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:51,753: 	 --> [WARNING] 	 This error occurred: list index out of range
2021-05-03 03:07:51,758: 	 --> [DEBUG] 	 In 2010 there's an empty value for RUS
2021-05-03 03:07:51,759: 	 --> [DEBUG] 	 In 2011 there's an empty value for RUS
2021-05-03 03:07:51,759: 	 --> [DEBUG] 	 In 2012 there's an empty value for RUS
2021-05-03 03:07:51,759: 	 --> [DEBUG] 	 In 2013 there's an empty value for RUS
2021-05-03 03:07:51,759: 	 --> [DEBUG] 	 In 2014 there's an empty value for RUS
2021-05-03 03:07:51,759: 	 --> [DEBUG] 	 In 2015 there's an empty value for RUS
2021-05-03 03:07:51,760: 	 --> [DEBUG] 	 In 2016 there's an empty value for RUS
2021-05-03 03:07:51,760: 	 --> [DEBUG] 	 In 2017 there's an empty value for RUS
2021-05-03 03:07:51,760: 	 --> [DEBUG] 	 In 2018 there's an empty value for RUS
2021-05-03 03:07:51,761: 	 --> [DEBUG] 	 In 2019 there's an empty value for RUS
2021-05-03 03:07:51,761: 	 --> [DEBUG] 	 In 2020 there's an empty value for RUS
2021-05-03 03:07:51,761: 	 --> [INFO] 	 Chosen country: ARG
2021-05-03 03:07:51,762: 	 --> [INFO] 	 Chosen country years limits: 1996 - 2012
2021-05-03 03:07:51,762: 	 --> [DEBUG] 	 In 1990 there's an empty value for ARG
2021-05-03 03:07:51,763: 	 --> [DEBUG] 	 In 1991 there's an empty value for ARG
2021-05-03 03:07:51,763: 	 --> [DEBUG] 	 In 1992 there's an empty value for ARG
2021-05-03 03:07:51,763: 	 --> [DEBUG] 	 In 1993 there's an empty value for ARG
2021-05-03 03:07:51,763: 	 --> [DEBUG] 	 In 1994 there's an empty value for ARG
2021-05-03 03:07:51,763: 	 --> [DEBUG] 	 In 1995 there's an empty value for ARG
2021-05-03 03:07:51,787: 	 --> [DEBUG] 	 In 2013 there's an empty value for ARG
2021-05-03 03:07:51,789: 	 --> [DEBUG] 	 In 2014 there's an empty value for ARG
2021-05-03 03:07:51,789: 	 --> [DEBUG] 	 In 2015 there's an empty value for ARG
2021-05-03 03:07:51,790: 	 --> [DEBUG] 	 In 2016 there's an empty value for ARG
2021-05-03 03:07:51,790: 	 --> [DEBUG] 	 In 2017 there's an empty value for ARG
2021-05-03 03:07:51,790: 	 --> [DEBUG] 	 In 2018 there's an empty value for ARG
2021-05-03 03:07:51,790: 	 --> [DEBUG] 	 In 2019 there's an empty value for ARG
2021-05-03 03:07:51,790: 	 --> [DEBUG] 	 In 2020 there's an empty value for ARG
2021-05-03 03:07:51,790: 	 --> [INFO] 	 Chosen country: SVN
2021-05-03 03:07:51,792: 	 --> [INFO] 	 Chosen country years limits: 1996 - 2019
2021-05-03 03:07:51,792: 	 --> [DEBUG] 	 In 1990 there's an empty value for SVN
2021-05-03 03:07:51,792: 	 --> [DEBUG] 	 In 1991 there's an empty value for SVN
2021-05-03 03:07:51,793: 	 --> [DEBUG] 	 In 1992 there's an empty value for SVN
2021-05-03 03:07:51,793: 	 --> [DEBUG] 	 In 1993 there's an empty value for SVN
2021-05-03 03:07:51,793: 	 --> [DEBUG] 	 In 1994 there's an empty value for SVN
2021-05-03 03:07:51,793: 	 --> [DEBUG] 	 In 1995 there's an empty value for SVN
2021-05-03 03:07:51,826: 	 --> [DEBUG] 	 In 2020 there's an empty value for SVN
2021-05-03 03:07:51,826: 	 --> [INFO] 	 Chosen country: KOR
2021-05-03 03:07:51,828: 	 --> [INFO] 	 Chosen country years limits: 1999 - 2018
2021-05-03 03:07:51,828: 	 --> [DEBUG] 	 In 1990 there's an empty value for KOR
2021-05-03 03:07:51,828: 	 --> [DEBUG] 	 In 1991 there's an empty value for KOR
2021-05-03 03:07:51,828: 	 --> [DEBUG] 	 In 1992 there's an empty value for KOR
2021-05-03 03:07:51,829: 	 --> [DEBUG] 	 In 1993 there's an empty value for KOR
2021-05-03 03:07:51,829: 	 --> [DEBUG] 	 In 1994 there's an empty value for KOR
2021-05-03 03:07:51,829: 	 --> [DEBUG] 	 In 1995 there's an empty value for KOR
2021-05-03 03:07:51,829: 	 --> [DEBUG] 	 In 1996 there's an empty value for KOR
2021-05-03 03:07:51,830: 	 --> [DEBUG] 	 In 1997 there's an empty value for KOR
2021-05-03 03:07:51,830: 	 --> [DEBUG] 	 In 1998 there's an empty value for KOR
2021-05-03 03:07:51,857: 	 --> [DEBUG] 	 In 2019 there's an empty value for KOR
2021-05-03 03:07:51,857: 	 --> [DEBUG] 	 In 2020 there's an empty value for KOR
2021-05-03 03:07:51,858: 	 --> [INFO] 	 Chosen country: COL
2021-05-03 03:07:51,859: 	 --> [INFO] 	 Chosen country years limits: 2000 - 2019
2021-05-03 03:07:51,859: 	 --> [DEBUG] 	 In 1990 there's an empty value for COL
2021-05-03 03:07:51,859: 	 --> [DEBUG] 	 In 1991 there's an empty value for COL
2021-05-03 03:07:51,859: 	 --> [DEBUG] 	 In 1992 there's an empty value for COL
2021-05-03 03:07:51,859: 	 --> [DEBUG] 	 In 1993 there's an empty value for COL
2021-05-03 03:07:51,860: 	 --> [DEBUG] 	 In 1994 there's an empty value for COL
2021-05-03 03:07:51,860: 	 --> [DEBUG] 	 In 1995 there's an empty value for COL
2021-05-03 03:07:51,860: 	 --> [DEBUG] 	 In 1996 there's an empty value for COL
2021-05-03 03:07:51,860: 	 --> [DEBUG] 	 In 1997 there's an empty value for COL
2021-05-03 03:07:51,861: 	 --> [DEBUG] 	 In 1998 there's an empty value for COL
2021-05-03 03:07:51,861: 	 --> [DEBUG] 	 In 1999 there's an empty value for COL
2021-05-03 03:07:51,887: 	 --> [DEBUG] 	 In 2020 there's an empty value for COL
