2021-05-21 16:56:56,079: 	 --> [DEBUG] 	 databases to read: ['Agricultural']
2021-05-21 16:56:56,470: 	 --> [DEBUG] 	 Read_init_sql: append Agricultural df to dfs
2021-05-21 16:56:56,490: 	 --> [DEBUG] 	 databases to read: ['GBARD']
2021-05-21 16:56:56,500: 	 --> [DEBUG] 	 Read_init_sql: append GBARD df to dfs
2021-05-21 16:56:56,501: 	 --> [DEBUG] 	 databases to read: ['Agri_country', 'commodity', 'Agri_variable', 'GBARD_country', 'seo']
2021-05-21 16:56:56,503: 	 --> [DEBUG] 	 Read_init_sql: append Agri_country df to dfs
2021-05-21 16:56:56,505: 	 --> [DEBUG] 	 Read_init_sql: append commodity df to dfs
2021-05-21 16:56:56,507: 	 --> [DEBUG] 	 Read_init_sql: append Agri_variable df to dfs
2021-05-21 16:56:56,509: 	 --> [DEBUG] 	 Read_init_sql: append GBARD_country df to dfs
2021-05-21 16:56:56,511: 	 --> [DEBUG] 	 Read_init_sql: append seo df to dfs
2021-05-21 16:56:56,512: 	 --> [DEBUG] 	 databases to read: ['continents', 'continents_1990', 'continents_2020']
2021-05-21 17:10:09,234: 	 --> [DEBUG] 	 databases to read: ['Agricultural']
2021-05-21 17:10:09,566: 	 --> [DEBUG] 	 Read_init_sql: append Agricultural df to dfs
2021-05-21 17:10:09,585: 	 --> [DEBUG] 	 databases to read: ['GBARD']
2021-05-21 17:10:09,594: 	 --> [DEBUG] 	 Read_init_sql: append GBARD df to dfs
2021-05-21 17:10:09,594: 	 --> [DEBUG] 	 databases to read: ['Agri_country', 'commodity', 'Agri_variable', 'GBARD_country', 'seo']
2021-05-21 17:10:09,596: 	 --> [DEBUG] 	 Read_init_sql: append Agri_country df to dfs
2021-05-21 17:10:09,597: 	 --> [DEBUG] 	 Read_init_sql: append commodity df to dfs
2021-05-21 17:10:09,598: 	 --> [DEBUG] 	 Read_init_sql: append Agri_variable df to dfs
2021-05-21 17:10:09,599: 	 --> [DEBUG] 	 Read_init_sql: append GBARD_country df to dfs
