2021-05-21 17:17:07,504: 	 --> [INFO] 	 Starting DataFrames Cleaning...
2021-05-21 17:17:07,504: 	 --> [DEBUG] 	 Going to Clean_DataFrames function
2021-05-21 17:17:07,611: 	 --> [INFO] 	 Starting drop/rename...
2021-05-21 17:17:08,379: 	 --> [DEBUG] 	 drop rows that not contains 'OECD', 'EUN', 'NOA',              'EUR', 'OCD', 'AFR', 'LAC', 'WLD', 'BRICS', 'DVD', 'DVG' in column: LOCATION
2021-05-21 17:17:08,943: 	 --> [INFO] 	 number dfs: 1, name of dfs: ['slim_agricultural']
2021-05-21 17:17:08,943: 	 --> [DEBUG] 	 Going to sorted_dfs function
2021-05-21 17:17:08,943: 	 --> [INFO] 	 Starting 2 sort dfs by values...
2021-05-21 17:17:09,004: 	 --> [DEBUG] 	 Finished sort values by SEO & COMMODITY & VARIABLE
2021-05-21 17:17:09,004: 	 --> [DEBUG] 	 Going to checkIfnull function
2021-05-21 17:17:09,004: 	 --> [INFO] 	 Starting Cleaning null values...
2021-05-21 17:29:51,156: 	 --> [INFO] 	 Starting DataFrames Cleaning...
2021-05-21 17:29:51,156: 	 --> [DEBUG] 	 Going to Clean_DataFrames function
2021-05-21 17:29:51,264: 	 --> [INFO] 	 Starting drop/rename...
2021-05-21 17:29:52,097: 	 --> [DEBUG] 	 drop rows that not contains 'OECD', 'EUN', 'NOA',              'EUR', 'OCD', 'AFR', 'LAC', 'WLD', 'BRICS', 'DVD', 'DVG' in column: LOCATION
2021-05-21 17:29:52,668: 	 --> [INFO] 	 number dfs: 1, name of dfs: ['slim_agricultural']
2021-05-21 17:29:52,669: 	 --> [DEBUG] 	 Going to sorted_dfs function
2021-05-21 17:29:52,669: 	 --> [INFO] 	 Starting 2 sort dfs by values...
2021-05-21 17:29:52,730: 	 --> [DEBUG] 	 Finished sort values by SEO & COMMODITY & VARIABLE
2021-05-21 17:29:52,730: 	 --> [DEBUG] 	 Going to checkIfnull function
2021-05-21 17:29:52,730: 	 --> [INFO] 	 Starting Cleaning null values...
2021-05-21 17:59:37,909: 	 --> [INFO] 	 Starting DataFrames Cleaning...
2021-05-21 17:59:37,909: 	 --> [DEBUG] 	 Going to Clean_DataFrames function
2021-05-21 17:59:38,017: 	 --> [INFO] 	 Starting drop/rename...
2021-05-21 17:59:38,852: 	 --> [DEBUG] 	 drop rows that not contains 'OECD', 'EUN', 'NOA',              'EUR', 'OCD', 'AFR', 'LAC', 'WLD', 'BRICS', 'DVD', 'DVG' in column: LOCATION
2021-05-21 17:59:39,395: 	 --> [INFO] 	 number dfs: 1, name of dfs: ['slim_agricultural']
2021-05-21 17:59:39,395: 	 --> [DEBUG] 	 Going to sorted_dfs function
2021-05-21 17:59:39,395: 	 --> [INFO] 	 Starting 2 sort dfs by values...
2021-05-21 17:59:39,451: 	 --> [DEBUG] 	 Finished sort values by SEO & COMMODITY & VARIABLE
2021-05-21 17:59:39,451: 	 --> [DEBUG] 	 Going to checkIfnull function
2021-05-21 17:59:39,451: 	 --> [INFO] 	 Starting Cleaning null values...
2021-05-21 18:08:31,774: 	 --> [INFO] 	 Starting DataFrames Cleaning...
2021-05-21 18:08:31,774: 	 --> [DEBUG] 	 Going to Clean_DataFrames function
2021-05-21 18:08:31,880: 	 --> [INFO] 	 Starting drop/rename...
2021-05-21 18:08:32,663: 	 --> [DEBUG] 	 drop rows that not contains 'OECD', 'EUN', 'NOA',              'EUR', 'OCD', 'AFR', 'LAC', 'WLD', 'BRICS', 'DVD', 'DVG' in column: LOCATION
2021-05-21 18:08:33,201: 	 --> [INFO] 	 number dfs: 1, name of dfs: ['slim_agricultural']
2021-05-21 18:08:33,201: 	 --> [DEBUG] 	 Going to sorted_dfs function
2021-05-21 18:08:33,201: 	 --> [INFO] 	 Starting 2 sort dfs by values...
2021-05-21 18:08:33,254: 	 --> [DEBUG] 	 Finished sort values by SEO & COMMODITY & VARIABLE
2021-05-21 18:08:33,254: 	 --> [DEBUG] 	 Going to checkIfnull function
2021-05-21 18:08:33,254: 	 --> [INFO] 	 Starting Cleaning null values...
2021-05-21 18:16:13,578: 	 --> [INFO] 	 Starting DataFrames Cleaning...
2021-05-21 18:16:13,578: 	 --> [DEBUG] 	 Going to Clean_DataFrames function
2021-05-21 18:16:13,687: 	 --> [INFO] 	 Starting drop/rename...
2021-05-21 18:16:14,457: 	 --> [DEBUG] 	 drop rows that not contains 'OECD', 'EUN', 'NOA',              'EUR', 'OCD', 'AFR', 'LAC', 'WLD', 'BRICS', 'DVD', 'DVG' in column: LOCATION
2021-05-21 18:16:14,993: 	 --> [INFO] 	 number dfs: 1, name of dfs: ['slim_agricultural']
2021-05-21 18:16:14,993: 	 --> [DEBUG] 	 Going to sorted_dfs function
2021-05-21 18:16:14,993: 	 --> [INFO] 	 Starting 2 sort dfs by values...
2021-05-21 18:16:15,049: 	 --> [DEBUG] 	 Finished sort values by SEO & COMMODITY & VARIABLE
2021-05-21 18:16:15,049: 	 --> [DEBUG] 	 Going to checkIfnull function
2021-05-21 18:16:15,050: 	 --> [INFO] 	 Starting Cleaning null values...
2021-05-21 18:21:31,863: 	 --> [INFO] 	 Starting DataFrames Cleaning...
2021-05-21 18:21:31,864: 	 --> [DEBUG] 	 Going to Clean_DataFrames function
2021-05-21 18:21:31,970: 	 --> [INFO] 	 Starting drop/rename...
2021-05-21 18:21:32,832: 	 --> [DEBUG] 	 drop rows that not contains 'OECD', 'EUN', 'NOA',              'EUR', 'OCD', 'AFR', 'LAC', 'WLD', 'BRICS', 'DVD', 'DVG' in column: LOCATION
2021-05-21 18:21:33,371: 	 --> [INFO] 	 number dfs: 1, name of dfs: ['slim_agricultural']
2021-05-21 18:21:33,372: 	 --> [DEBUG] 	 Going to sorted_dfs function
2021-05-21 18:21:33,372: 	 --> [INFO] 	 Starting 2 sort dfs by values...
2021-05-21 18:21:33,431: 	 --> [DEBUG] 	 Finished sort values by SEO & COMMODITY & VARIABLE
2021-05-21 18:21:33,432: 	 --> [DEBUG] 	 Going to checkIfnull function
2021-05-21 18:21:33,432: 	 --> [INFO] 	 Starting Cleaning null values...
2021-05-21 19:12:30,070: 	 --> [INFO] 	 Starting DataFrames Cleaning...
2021-05-21 19:12:30,070: 	 --> [DEBUG] 	 Going to Clean_DataFrames function
2021-05-21 19:12:30,176: 	 --> [INFO] 	 Starting drop/rename...
2021-05-21 19:12:30,965: 	 --> [DEBUG] 	 drop rows that not contains 'OECD', 'EUN', 'NOA',              'EUR', 'OCD', 'AFR', 'LAC', 'WLD', 'BRICS', 'DVD', 'DVG' in column: LOCATION
2021-05-21 19:12:31,532: 	 --> [INFO] 	 number dfs: 1, name of dfs: ['slim_agricultural']
2021-05-21 19:12:31,532: 	 --> [DEBUG] 	 Going to sorted_dfs function
2021-05-21 19:12:31,532: 	 --> [INFO] 	 Starting 2 sort dfs by values...
2021-05-21 19:12:31,591: 	 --> [DEBUG] 	 Finished sort values by SEO & COMMODITY & VARIABLE
2021-05-21 19:12:31,592: 	 --> [DEBUG] 	 Going to checkIfnull function
2021-05-21 19:12:31,592: 	 --> [INFO] 	 Starting Cleaning null values...
2021-05-21 19:22:31,576: 	 --> [INFO] 	 Starting DataFrames Cleaning...
2021-05-21 19:22:31,577: 	 --> [DEBUG] 	 Going to Clean_DataFrames function
2021-05-21 19:22:31,683: 	 --> [INFO] 	 Starting drop/rename...
2021-05-21 19:22:32,544: 	 --> [DEBUG] 	 drop rows that not contains 'OECD', 'EUN', 'NOA',              'EUR', 'OCD', 'AFR', 'LAC', 'WLD', 'BRICS', 'DVD', 'DVG' in column: LOCATION
2021-05-21 19:22:33,162: 	 --> [INFO] 	 number dfs: 1, name of dfs: ['slim_agricultural']
2021-05-21 19:22:33,162: 	 --> [DEBUG] 	 Going to sorted_dfs function
2021-05-21 19:22:33,162: 	 --> [INFO] 	 Starting 2 sort dfs by values...
2021-05-21 19:22:33,231: 	 --> [DEBUG] 	 Finished sort values by SEO & COMMODITY & VARIABLE
2021-05-21 19:22:33,231: 	 --> [DEBUG] 	 Going to checkIfnull function
2021-05-21 19:22:33,232: 	 --> [INFO] 	 Starting Cleaning null values...
2021-05-21 19:27:21,286: 	 --> [INFO] 	 Starting DataFrames Cleaning...
2021-05-21 19:27:21,287: 	 --> [DEBUG] 	 Going to Clean_DataFrames function
2021-05-21 19:27:21,396: 	 --> [INFO] 	 Starting drop/rename...
2021-05-21 19:27:22,281: 	 --> [DEBUG] 	 drop rows that not contains 'OECD', 'EUN', 'NOA',              'EUR', 'OCD', 'AFR', 'LAC', 'WLD', 'BRICS', 'DVD', 'DVG' in column: LOCATION
2021-05-21 19:27:22,859: 	 --> [INFO] 	 number dfs: 1, name of dfs: ['slim_agricultural']
2021-05-21 19:27:22,864: 	 --> [DEBUG] 	 Going to sorted_dfs function
2021-05-21 19:27:22,865: 	 --> [INFO] 	 Starting 2 sort dfs by values...
2021-05-21 19:27:22,925: 	 --> [DEBUG] 	 Finished sort values by SEO & COMMODITY & VARIABLE
2021-05-21 19:27:22,926: 	 --> [DEBUG] 	 Going to checkIfnull function
2021-05-21 19:27:22,926: 	 --> [INFO] 	 Starting Cleaning null values...
2021-05-21 19:31:11,615: 	 --> [INFO] 	 Starting DataFrames Cleaning...
2021-05-21 19:31:11,615: 	 --> [DEBUG] 	 Going to Clean_DataFrames function
2021-05-21 19:31:11,723: 	 --> [INFO] 	 Starting drop/rename...
2021-05-21 19:31:12,522: 	 --> [DEBUG] 	 drop rows that not contains 'OECD', 'EUN', 'NOA',              'EUR', 'OCD', 'AFR', 'LAC', 'WLD', 'BRICS', 'DVD', 'DVG' in column: LOCATION
2021-05-21 19:31:13,078: 	 --> [INFO] 	 number dfs: 1, name of dfs: ['slim_agricultural']
2021-05-21 19:31:13,078: 	 --> [DEBUG] 	 Going to sorted_dfs function
2021-05-21 19:31:13,078: 	 --> [INFO] 	 Starting 2 sort dfs by values...
2021-05-21 19:31:13,134: 	 --> [DEBUG] 	 Finished sort values by SEO & COMMODITY & VARIABLE
2021-05-21 19:31:13,134: 	 --> [DEBUG] 	 Going to checkIfnull function
2021-05-21 19:31:13,134: 	 --> [INFO] 	 Starting Cleaning null values...
2021-05-21 19:40:13,960: 	 --> [INFO] 	 Starting DataFrames Cleaning...
2021-05-21 19:40:13,961: 	 --> [DEBUG] 	 Going to Clean_DataFrames function
2021-05-21 19:40:14,065: 	 --> [INFO] 	 Starting drop/rename...
2021-05-21 19:40:14,872: 	 --> [DEBUG] 	 drop rows that not contains 'OECD', 'EUN', 'NOA',              'EUR', 'OCD', 'AFR', 'LAC', 'WLD', 'BRICS', 'DVD', 'DVG' in column: LOCATION
2021-05-21 19:40:15,443: 	 --> [INFO] 	 number dfs: 1, name of dfs: ['slim_agricultural']
2021-05-21 19:40:15,444: 	 --> [DEBUG] 	 Going to sorted_dfs function
2021-05-21 19:40:15,444: 	 --> [INFO] 	 Starting 2 sort dfs by values...
2021-05-21 19:40:15,506: 	 --> [DEBUG] 	 Finished sort values by SEO & COMMODITY & VARIABLE
2021-05-21 19:40:15,506: 	 --> [DEBUG] 	 Going to checkIfnull function
2021-05-21 19:40:15,507: 	 --> [INFO] 	 Starting Cleaning null values...
2021-05-21 20:01:33,906: 	 --> [INFO] 	 Starting DataFrames Cleaning...
2021-05-21 20:01:33,906: 	 --> [DEBUG] 	 Going to Clean_DataFrames function
2021-05-21 20:01:34,017: 	 --> [INFO] 	 Starting drop/rename...
2021-05-21 20:01:34,807: 	 --> [DEBUG] 	 drop rows that not contains 'OECD', 'EUN', 'NOA',              'EUR', 'OCD', 'AFR', 'LAC', 'WLD', 'BRICS', 'DVD', 'DVG' in column: LOCATION
2021-05-21 20:01:35,413: 	 --> [INFO] 	 number dfs: 1, name of dfs: ['slim_agricultural']
2021-05-21 20:01:35,413: 	 --> [DEBUG] 	 Going to sorted_dfs function
2021-05-21 20:01:35,413: 	 --> [INFO] 	 Starting 2 sort dfs by values...
2021-05-21 20:01:35,479: 	 --> [DEBUG] 	 Finished sort values by SEO & COMMODITY & VARIABLE
2021-05-21 20:01:35,479: 	 --> [DEBUG] 	 Going to checkIfnull function
2021-05-21 20:01:35,480: 	 --> [INFO] 	 Starting Cleaning null values...
2021-05-21 20:05:11,097: 	 --> [INFO] 	 Starting DataFrames Cleaning...
2021-05-21 20:05:11,097: 	 --> [DEBUG] 	 Going to Clean_DataFrames function
2021-05-21 20:05:11,205: 	 --> [INFO] 	 Starting drop/rename...
2021-05-21 20:05:12,001: 	 --> [DEBUG] 	 drop rows that not contains 'OECD', 'EUN', 'NOA',              'EUR', 'OCD', 'AFR', 'LAC', 'WLD', 'BRICS', 'DVD', 'DVG' in column: LOCATION
2021-05-21 20:05:12,570: 	 --> [INFO] 	 number dfs: 1, name of dfs: ['slim_agricultural']
